#,id,canonical_key,kind,condition_norm,then_norm,else_norm,has_else,occurrences,min_complexity,max_complexity,avg_complexity
1463,1463,94fc10df18eae0fbd347f54d8ebcadee89c220b22c086cae530f8e4ac0453ebb,IF,HCP1UIDI = <SPACE> OR LOW-VALUES,GO TO USERID-REQUIRED,,FALSE,1,2,2,2
1464,1464,0d8f62cf15635a9d31bd942f30149c3ee9decf14ce8a06a43f4d6b1c66280944,EVALUATE,JAVAERR,MOVE WLP-ERROR-MSG-LEN TO WS-LENGTH MOVE WLP-ERROR-MSG TO RESPONSE-BODY,,FALSE,1,1,1,1
1465,1465,0705cae3a2259a95fc59dde4ed9de361f3fd3a8e769d291cb5a20045cad188bf,IF,EH3 = Q1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1466,1466,ee7f5f3616a0cef581fbc2a8c20eb1ed4ca433ee1f23a030838a309b68674f94,IF,LB1 = DB1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1467,1467,c7261fdb294769fdf9923487882425f077fa4524ac02242254c147493b3c5204,IF,A = B OR C OR D,DISPLAY <S> PERFORM GOOD,PERFORM BAD,TRUE,1,3,3,3
1468,1468,b535d351c346d43ddd39d5b273b7b5274f143ca0e35c75239a76584434173e2d,IF,IN-FIRST-NAME NOT = <SPACE>,MOVE <N> TO SET-DATA-FLAG MOVE IN-FIRST-NAME TO IO-FIRST-NAME,,FALSE,2,2,2,2
1469,1469,c90d0ce78a50be670927109701f4b47b583c64a9ee5e94529a9cc414c6832df2,IF,NEEDS-DELETE,DELETE SCRNBG-FILE INVALID KEY ADD <N> TO SEGMENT-NO END-DELETE,,FALSE,1,1,1,1
1470,1470,2ada7f4f7c9df127d922acfb044e862d11015a51f43c67e35bf28ecf7a865439,IF,Z3 = EH1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
1471,1471,324e17feeabd5993eb15ec715e948d8066c1b7fbef2696995e60ccf2a885682d,IF,ACCOUNT-NUMBER NOT = IA-ACCT-NUM,GO TO GET-ACCT-NEXT,MOVE ACCOUNT-SSN TO OA-SSN EXEC_BLOCK_STUB,TRUE,1,2,2,2
1472,1472,fa6c36e6e682e33a4d9b0fdea9096debdaa041e2b0f89c77aa3ce0e9fcd51c9a,IF,H3 = EH1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1473,1473,6af73505ffeef12e4dcbffa5e47d2b6d70bae550e00dc2fdd0b76573d005f870,IF,F3 = G1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1474,1474,af9f2108a711c3cc88796f51850b0b130b1c4ace21ec220b3076b4b063a86e64,IF,SQLCODE NOT = <N>,IF SQLCODE EQUAL <N> MOVE <S> TO CA-RETURN-CODE ELSE MOVE <S> TO CA-RETURN-CODE PERFORM WRITE-ERROR-MESSAGE END-IF,,FALSE,3,3,3,3
1475,1475,81b0c4902772ac3a2e349cad2c5cf226c64d45cd1c347a7575428d14c8d0ab69,IF,RET-CODE = <N>,PERFORM FORMAT-GOOD-CI THRU FORMAT-GOOD-CI-EXIT MOVE <S> TO DONE-CI MOVE <N> TO CUST-CNT,PERFORM FORMAT-ERROR-CI THRU FORMAT-ERROR-CI-EXIT,TRUE,1,2,2,2
1476,1476,7eee2e8af698912dbefac4aa15b225a83a4934271a0eac15e407c53e1de01878,IF,QW1 = <N>,PERFORM GOOD,PERFORM BAD,TRUE,1,1,1,1
1477,1477,ace4569e3d1e409fe8c28c2c07a561c7d28ee037604883a03801d83c3a44bf98,IF,EH3 = LH1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1478,1478,bea275ce0555acba4649e6c0f75348a2c45f32bd354af7e1268e425a3778401a,IF,ASCII-BKTK,MOVE <N> TO CHAR-CODE,IF ASCII-LOWA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PIPE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-TLDE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DEL THEN MOVE <N> TO CHAR-CODE ELSE MOVE COBOL-STRING TO CHAR-CODE,TRUE,1,11,11,11
1479,1479,99c01a46d10ea7644f4672fc0dc5cf5c67240822b3b3522c5b781f0b10b9086d,IF,WS-OUT-DATA-LENGTH NOT = WS-IN-DATA-LENGTH,DISPLAY <S> WS-OUT-DATA-LENGTH <S> WS-IN-DATA-LENGTH PERFORM 6100-FAILED,DISPLAY <S> WS-OUT-DATA-LENGTH <S> PERFORM 6100-PASSED,TRUE,2,2,2,2
1480,1480,4ebb140c5214d9bb6432d780185db4126db7d49fd48c3c4ac19144e94eb3ad93,IF,Q1 = Q1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1481,1481,336fd4c10ebc2f089d217f981b5b12319be8799faa3ea47926ce7470da4a8fd1,IF,CONFIRM-DELETE = <S>,PERFORM DELETE-RECORD,,FALSE,1,1,1,1
1482,1482,b6672394607c067eff75706c4710a04f61be252566e2a5c6f3c64d68776d3aa0,IF,SQLCODE NOT = <N>,DISPLAY <S> DISPLAY MM-STRING MOVE SQLCODE TO DISPLAYSQLCODE DISPLAY <S> DISPLAYSQLCODE GOBACK,,FALSE,1,3,3,3
1483,1483,c88be165cd09b63ccb4d73e8d262d5f5fed954f04a5da35cd6b8fe30b77f4472,IF,EIBRESP = DFHRESP AND THE-OTHER-DC-LENGTH > TWO,SUBTRACT TWO FROM THE-OTHER-DC-LENGTH,,FALSE,1,2,2,2
1484,1484,4ce7102e5f1e303f4d1bf781ced1120fcc91f57c594f42066b6af94a2e4e643e,EVALUATE,EIBCALEN = <ZERO>,PERFORM 1000-GET-DATA PERFORM 1050-SEND-MAP,,FALSE,1,1,1,1
1485,1485,cf557cee0c9ee6e1351d30a627e2e07643dc9a48251edee886eb8a29c5557782,IF,READ-RESP = DFHRESP,PERFORM 4110-PRIME-KEY THRU 4110-EXIT,,FALSE,1,1,1,1
1486,1486,b37b9778f682854db57a8c8a7cef6e3bda784dcd8e8f567a2572d5abc1c7f618,IF,EB3 = H1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1487,1487,68981978962f53bf2db4eb50f032b219295aeeba1e14b5f9a07fe6a14f8f5516,IF,SQLCODE NOT = <N> AND SQLCODE NOT = <N>,MOVE <S> TO CA-MODEL-OUTPUT,,FALSE,1,4,4,4
1488,1488,7710822271dcaf3d2fef939535eaa9f49a60d1f7979d54fe084a59ac862d5085,IF,F3 = LH1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1489,1489,6b4b0d239587108b1e38a23146523554092025fbd077f55ca99539558d833490,IF,DB1 = EB1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1490,1490,be937615dc9c91dad9a9c0c0e204b6d037b0e862d8b64f9a644bb4940f78f31d,IF,EIBRESP NOT = DFHRESP,MOVE LAST-UPDATE-TIME TO TTL-TYPE,,FALSE,1,2,2,2
1491,1491,1958784a7d70a5c342399a93532cf5f60a684cd7ced9c03c474e14079bc20446,IF,IN-LL < <N>,MOVE MNODATA TO OUT-MESSAGE PERFORM TERM-ROUTINE THRU TERM-ROUTINE-END,,FALSE,2,1,1,1
1492,1492,aba5dd344110b0b105e61c86fdcc354ad6e6284b2186f3d63f311b1c4c293ed6,IF,CURSOR-POSITION < <N>,MOVE <N> TO CURSOR-POSITION MOVE <S> TO MESSAGEOUT,,FALSE,1,1,1,1
1493,1493,eea6da9ada9f2b09efbdc5ea76300e35a8ba2a7353a8b526536ab5e4beba1580,IF,ERROR-RESP NOT = DFHRESP,ADD <N> TO PGM-ERROR-COUNT IF PGM-ERROR-COUNT < PGM-ERROR-COUNT-MAX THEN EXEC_BLOCK_STUB ELSE MOVE WLP-CONTROL-PROGRAM TO ERROR-PROG MOVE <N> TO WS-RETURN-CODE END-IF,MOVE LENGTH OF WLPRESP TO WLPRESP-LEN EXEC_BLOCK_STUB IF WLP-RETURN-CODE EQUAL <N> THEN MOVE <N> TO WS-RETURN-CODE ELSE MOVE <N> TO WS-RETURN-CODE END-IF,TRUE,1,4,4,4
1494,1494,386e5b7370821b85680150b945bdf2e72b744676d90583e37627fda6f447315e,IF,WRK-VENDAS > <N>,PERFORM 0200-PROCESSAR UNTIL WRK-VENDAS = <N>,,FALSE,1,1,1,1
1495,1495,b72413cc6cb998d296af33728e96ba2a5733859427b57596bd35bf6c53aeb42f,IF,LB3 = DH1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
1496,1496,9724173f453b33e30d1bfb24d49560e665a52460a41c175c58b56de000f0e6fb,EVALUATE,OTHER,MOVE <N> TO CLAIMTYPE-LENGTH MOVE <S> TO CLAIMTYPE,,FALSE,1,1,1,1
1497,1497,9fc04b4bfa5c4fb0ab906c354590d92fd2f4b387044d1ce0c178af7193b14e49,IF,TABLE-INDEX > <N>,MOVE <N> TO LOOP-STATE,,FALSE,1,1,1,1
1498,1498,0fea9b9b7f5f744befbcf5852122f7dbbf80680457f6caa7ffae56adbddf9f2a,IF,RETURN-CODE NOT = WS-EXPECTED-RET-CODE,DISPLAY <S> PERFORM 6100-FAILED,DISPLAY <S> PERFORM 6100-PASSED,TRUE,1,2,2,2
1499,1499,3fb8300574d680d1d31004c848656ff1d8670307a83fd5a1dfe1c99006975c1c,EVALUATE,OTHER,IF WRK-OPCAO NOT EQUAL <S> DISPLAY <S> END-IF,,FALSE,7,1,1,1
1500,1500,861919b18839ab654d4e77d7ecf94a62a030f63809819fc7d05c9c3e0584446e,EVALUATE,OTHER,MOVE <S> TO ERP4FLDO GO TO ERROR-OUT,,FALSE,1,1,1,1
1501,1501,9cbdcad874a7465de7e9860a5fd7071d2df593aad29bc24307b2311cf5edd983,IF,WN-RTN-CODE = <ZERO>,SET IS-VALID-INIT TO TRUE MOVE <ZERO> TO WN-RTN-CODE MOVE <SPACE> TO WC-POST-VALUE MOVE <S> TO WC-POST-NAME CALL <S> USING WN-RTN-CODE WC-POST-NAME WC-POST-VALUE IF WC-POST-VALUE NOT = <SPACE> SET IS-VALID-INIT-PROGRAM TO TRUE MOVE FUNCTION NUMVAL TO WN-PROGRAM-ID END-IF MOVE <ZERO> TO WN-RTN-CODE MOVE <SPACE> TO WC-POST-VALUE MOVE <S> TO WC-POST-NAME CALL <S> USING WN-RTN-CODE WC-POST-NAME WC-POST-VALUE IF WC-POST-VALUE NOT = <SPACE> SET IS-VALID-INIT-MAGIC TO TRUE MOVE WC-POST-VALUE TO WC-MAGIC-NUMBER END-IF IF IS-VALID-INIT-PROGRAM AND IS-VALID-INIT-MAGIC SET IS-VALID-INIT TO TRUE OPEN OUTPUT FILEOUT END-IF,,FALSE,1,4,4,4
1502,1502,3e387036928ad90f0a5da6328179e82e5918544d20a009f2e8e4bb7c29740ba0,IF,DUPLICATE-POST = <S>,PERFORM 4700-DELETE THRU 4700-EXIT WITH TEST AFTER VARYING DELETE-SEGMENT FROM <N> BY <N> UNTIL EIBRESP NOT EQUAL DFHRESP,,FALSE,1,1,1,1
1503,1503,0ea9ae2700a786f4d94fb0eb930b4992be4fed3c9857242e7bdfb0d5aafdfd42,IF,CA-RETURN-CODE > <N>,EXEC_BLOCK_STUB GO TO NO-ADD,,FALSE,7,1,1,1
1504,1504,a179f7f4e39d103c34059ac607fbee270791029815e563192c9a851cb9528ef4,IF,FUNCTION UPPER-CASE = FUNCTION UPPER-CASE,SET NAME-IS-IN-TABLE TO TRUE,,FALSE,2,1,1,1
1505,1505,2dd674fb2ca4fc996e6f8b5c0fbab8f47d66c4e4b514da70066ceedfd40169c2,IF,H2 = <N> AND H3 = <N>,PERFORM GOOD,PERFORM BAD,TRUE,1,2,2,2
1506,1506,3e00d6800e145b31cfe82da91b94328cba9baf377bb35c1e631431d1ea34e6d5,IF,DB1 = Z1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1507,1507,51e70ac016f797910af05a8ae2073b7bfab517d36dc9ad70c2f663c2738c53bf,EVALUATE,OTHER,GO TO 999-SELECTION1ERROR,,FALSE,1,1,1,1
1508,1508,4020829ef56fdc0338c86a6cf7959547035916ed9f657959f2c2a7bab67dee61,IF,ASCII-SGQT,MOVE <N> TO CHAR-CODE,IF ASCII-LPRN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RPRN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-STAR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PLUS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-COMA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DASH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DOT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SLSH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM0 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM1 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM2 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM3 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM4 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM5 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM6 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM7 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM8 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM9 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-COLN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SCLN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LESS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-EQL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-GRTR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-QUES THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-AT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKSL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-CRT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-UNDS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKTK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PIPE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-TLDE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DEL THEN MOVE <N> TO CHAR-CODE ELSE MOVE COBOL-STRING TO CHAR-CODE,TRUE,1,30,30,30
1509,1509,2dbb0397396dd5aff1cbb995b0f9526136529a211ed0bc073f46de01a1a2a9db,IF,PARM-LTH = <N>,IF PARM-DATA IS NUMERIC MOVE PARM-DATA TO START-NUMBER ELSE PERFORM 9800-BAD-PARM ELSE IF PARM-LTH = <N> MOVE <N> TO START-NUMBER ELSE PERFORM 9800-BAD-PARM,,FALSE,4,2,2,2
1510,1510,1c668e6fc79f541c2f6620a5b30595f9a9983eb555a7009c3d2814afca079634,IF,EIBCALEN = LENGTH OF DFHCOMMAREA,MOVE DFHCOMMAREA TO COMMAREA,EXEC_BLOCK_STUB,TRUE,2,1,1,1
1511,1511,cfcb111b938b2e98f4f0c654d8f1c69e2df04716fed57955b9654329c5c0aad1,IF,F3 = DH1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1512,1512,d148357359a4700b5eadf9c14684d9f75372e1d2606fe0c8c6ed757fe7379009,EVALUATE,MENU-CHOIX-AJOUTER,PERFORM AJOUTER-MATIERE,,FALSE,1,1,1,1
1513,1513,78ed9e00157aee67162ef7a1a4f33223d79b76943324b1c97ed4234b65256dde,IF,ZF-SEGMENTS > ONE,MULTIPLY ZF-SEGMENTS BY THIRTY-TWO-KB GIVING GETMAIN-LENGTH EXEC_BLOCK_STUB SET ADDRESS OF CACHE-MESSAGE TO CACHE-ADDRESS MOVE CACHE-ADDRESS-X TO SAVE-ADDRESS-X SUBTRACT ZF-PREFIX FROM ZF-LENGTH MOVE ZF-DATA TO CACHE-MESSAGE ADD ZF-LENGTH TO CACHE-ADDRESS-X,,FALSE,1,3,3,3
1514,1514,907a1a2ff919b173ab75a8c9a82a69330a2eb13c98d7bba140e13779d8cb7ff4,IF,ED1 = EB1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
